1|Budapest: City Highlights Cruise with Welcome Drink|4|See another side of Budapest from the River Danube on a sightseeing cruise and enjoy a welcome drink. Admire the famous bridges, Buda Castle, Várkert Bazár, and panoramic city views.|4|4|5|2|14-07-2024 05:00|14-04-2024 23:06|Scheduled|5|../../../Resources/Images/Tours/Buda1.jpg|../../../Resources/Images/Tours/Buda2.jpg|../../../Resources/Images/Tours/Buda3.jpg
2|Budapest: Buda Castle Cave Tour|4|Explore the labyrinth cave system under the Buda Castle District as you learn about the history and unique geology of the caverns.|4|2|5|2|16-07-2024 05:00|01-01-0001 00:00|Scheduled|5|../../../Resources/Images/Tours/Buda4.jpg|../../../Resources/Images/Tours/Buda5.jpg|../../../Resources/Images/Tours/Buda6.jpg
3|Classic Vienna: 3-Hour Guided Bike Tour|5|Experience Vienna on this 3-hour bike tour, and discover a great selection of this magnificent city's sights and landmarks.|4|7|5|4|14-07-2024 05:00|14-07-2024 23:05|Scheduled|5|../../../Resources/Images/Tours/Vienna1.jpg|../../../Resources/Images/Tours/Vienna2.jpg|../../../Resources/Images/Tours/Vienna3.jpg
4|Full Day Trip to Hallstatt|5|Explore the lakes and mountains of the UNESCO World Heritage Site of Salzkammergut on a guided bus tour from Vienna.|4|6|5|0|14-04-2024 05:00|14-04-2024 23:06|Scheduled|5|../../../Resources/Images/Tours/Vienna4.jpg|../../../Resources/Images/Tours/Vienna5.jpg|../../../Resources/Images/Tours/Vienna6.jpg
5|Warner Bros. Studio|6|Join the Warner Bros. Studio London Tour and go behind the scenes and onto the sets where the Harry Potter movies were filmed. Experience the magic and see actual props, costumes, and special effects.|4|10|5|4|25-07-2024 05:00|01-01-0001 00:00|Scheduled|5|../../../Resources/Images/Tours/London1.jpg|../../../Resources/Images/Tours/London2.jpg|../../../Resources/Images/Tours/London3.jpg
6|St Stephen's Basilica Tour|4|Skip the line and take a guided tour of St Stephen's Basilica. Learn about its history, admire its artworks, and see the Holy Right relic. Choose the option to visit the dome terrace and treasury.|4|5|6|0|15-07-2024 06:00|01-01-0001 00:00|Scheduled|5|../../../Resources/Images/Tours/BudaBuda1.jpg|../../../Resources/Images/Tours/BudaBuda2.jpg|../../../Resources/Images/Tours/BudaBuda3.jpg
7|test|2|testiranje|4|12|63|0|29-05-2024 22:00|01-06-2024 13:00|Finished|5|../../../Resources/Images/Tours/Budapest.jpg|../../../Resources/Images/Tours/London1.jpg
8|test|2|testiranje|4|12|63|0|30-03-2024 22:00|02-03-2024 13:00|Finished|5|../../../Resources/Images/Tours/Budapest.jpg|../../../Resources/Images/Tours/London1.jpg
9|test|2|testiranje|4|12|63|0|09-04-2024 22:00|12-04-2024 13:00|Finished|5|../../../Resources/Images/Tours/Budapest.jpg|../../../Resources/Images/Tours/London1.jpg
10|test|2|testiranje|4|12|63|0|01-05-2024 21:00|04-05-2024 12:00|Finished|5|../../../Resources/Images/Tours/Budapest.jpg|../../../Resources/Images/Tours/London1.jpg
11|test|2|testiranje|4|12|63|0|01-05-2024 00:00|03-05-2024 15:00|Finished|5|../../../Resources/Images/Tours/Budapest.jpg|../../../Resources/Images/Tours/London1.jpg
12|test|2|testiranje|4|12|63|0|01-02-2024 00:00|03-02-2024 15:00|Finished|5|../../../Resources/Images/Tours/Budapest.jpg|../../../Resources/Images/Tours/London1.jpg
13|test|2|testiranje|4|12|63|0|08-06-2024 00:00|08-06-2024 22:22|Finished|5|../../../Resources/Images/Tours/Budapest.jpg|../../../Resources/Images/Tours/London1.jpg
14|test|2|testiranje|4|12|63|0|14-05-2024 00:00|20-05-2024 15:00|Finished|5|../../../Resources/Images/Tours/Budapest.jpg|../../../Resources/Images/Tours/London1.jpg
15|test|2|testiranje|4|12|63|0|01-05-2025 00:00|03-05-2025 15:00|Finished|5|../../../Resources/Images/Tours/Budapest.jpg|../../../Resources/Images/Tours/London1.jpg
16|test|2|testiranje|4|12|63|0|14-06-2024 00:00|17-06-2024 15:00|Scheduled|5|../../../Resources/Images/Tours/Budapest.jpg|../../../Resources/Images/Tours/London1.jpg
17|test|2|testiranje|4|12|63|0|11-05-2024 00:00|13-05-2024 15:00|Finished|5|../../../Resources/Images/Tours/Budapest.jpg|../../../Resources/Images/Tours/London1.jpg
18|test|2|testiranje|4|12|63|0|01-03-2024 00:00|03-03-2024 15:00|Finished|5|../../../Resources/Images/Tours/Budapest.jpg|../../../Resources/Images/Tours/London1.jpg
19|test|2|testiranje|4|12|63|0|01-04-2024 00:00|03-04-2024 15:00|Finished|5|../../../Resources/Images/Tours/Budapest.jpg|../../../Resources/Images/Tours/London1.jpg
20|test|2|testiranje|4|12|63|0|01-02-2024 00:00|23-02-2024 15:00|Finished|5|../../../Resources/Images/Tours/Budapest.jpg|../../../Resources/Images/Tours/London1.jpg
21|test|2|testiranje|4|12|63|0|14-01-2024 00:00|20-01-2024 15:00|Finished|5|../../../Resources/Images/Tours/Budapest.jpg|../../../Resources/Images/Tours/London1.jpg
22|test|2|testiranje|4|12|63|0|01-01-2025 00:00|03-01-2025 15:00|Finished|5|../../../Resources/Images/Tours/Budapest.jpg|../../../Resources/Images/Tours/London1.jpg
23|Tura za Vaucere|1|testiranje vaucera|2|3|20|1|02-06-2024 11:00|02-06-2024 23:39|Finished|5|../../../Resources/Images/Tours/Buda1.jpg
24|Tura za Vaucere|1|testiranje vaucera|2|3|20|1|02-06-2024 10:00|02-06-2024 23:40|Finished|5|../../../Resources/Images/Tours/Buda1.jpg
25|Tura za Vaucere|1|testiranje vaucera|2|3|20|1|02-06-2024 00:00|02-06-2024 23:40|Finished|5|../../../Resources/Images/Tours/Buda1.jpg
26|Tura za Vaucere|1|testiranje vaucera|2|3|20|1|02-06-2024 09:00|02-06-2024 23:40|Finished|5|../../../Resources/Images/Tours/Buda1.jpg
27|Tura za Vaucere|1|testiranje vaucera|2|3|20|2|03-06-2024 12:00|04-06-2024 08:00|Scheduled|5|../../../Resources/Images/Tours/Buda1.jpg
28|Nekiceve Ture|6|JA uskoro dajem otkaz|1|10|22|1|22-08-2024 22:00|23-08-2024 20:00|Scheduled|7|../../../Resources/Images/Tours/BudaBuda3.jpg
29|Nekiceve Ture|6|JA uskoro dajem otkaz|1|10|22|0|12-08-2024 22:00|13-08-2024 20:00|Scheduled|7|../../../Resources/Images/Tours/BudaBuda3.jpg
30|Jde|3|das|2|20|2|2|08-06-2024 00:00|08-06-2024 22:22|Finished|5|../../../Resources/Images/Tours/Vienna3.jpg
31|das|3|ddad|3|32|32|0|09-06-2024 00:00|09-06-2024 23:05|Finished|5|..\..\..\Resources\Images\Tours\London1.jpg|..\..\..\Resources\Images\Tours\BudaBuda1.jpg
32|Examples|4|description|2|10|128|0|18-06-2024 22:00|24-06-2024 06:00|Scheduled|9|..\..\..\Resources\Images\Tours\Buda1.jpg|..\..\..\Resources\Images\Tours\Buda2.jpg
33|Examples|4|description|2|10|128|0|28-06-2024 12:00|03-07-2024 20:00|Scheduled|9|..\..\..\Resources\Images\Tours\Buda1.jpg|..\..\..\Resources\Images\Tours\Buda2.jpg|..\..\..\Resources\Images\Tours\Buda1.jpg|..\..\..\Resources\Images\Tours\Buda2.jpg
34|Examples|4|description|2|10|128|0|07-07-2024 10:00|12-07-2024 18:00|Scheduled|9|..\..\..\Resources\Images\Tours\Buda1.jpg|..\..\..\Resources\Images\Tours\Buda2.jpg|..\..\..\Resources\Images\Tours\Buda1.jpg|..\..\..\Resources\Images\Tours\Buda2.jpg|..\..\..\Resources\Images\Tours\Buda1.jpg|..\..\..\Resources\Images\Tours\Buda2.jpg
35|Live tour|5|We are traveling today|4|3|72|2|10-06-2024 15:00|10-06-2024 04:47|Finished|9|../../../Resources/Images/Tours/Vienna.jpg|../../../Resources/Images/Tours/Vienna2.jpg
